List ID,Name,Address,Town,State,Zip,Recorded,County,Telephones_1,Dates Listed_1,Telephones_2,Dates Listed_2,Affiliated Persons,Sex,Title,S.I.C. Codes_1,Industry Classifications_1,S.I.C. Codes_2,Industry Classifications_2,S.I.C. Codes_3,Industry Classifications_2
1,ALMACS INC,182 COUNTY RD,Barrington,RI,2806,Jan-94,BRISTOL COUNTY,401-245-7808,Jan-94,,,,,,54110000,Grocery stores,,,,
2,ALMACS SUPERMARKETS STORES,186 COUNTY RD,BARRINGTON,RI,2806,Recorded: 04/1994 - 01/1997,BRISTOL COUNTY,401-245-7808,04/1994 - 01/1997,,,,,,,,,,,
3,ALMACS SUPERMARKETS,1150 HOPE ST,BRISTOL,RI,2809,Recorded: 01/1988 - 01/1996,BRISTOL COUNTY,401-253-2647,01/1988 - 01/1996,,,,,,59920000,Florists,,,,
4,ALMACS SUPERMARKETS,1135 TIOGUE AVE,COVENTRY,RI,2816,Recorded: 01/1994,KENT COUNTY,401-821-2811,04/1994 - 01/1997,,,,,,54110000,Grocery stores,,,,
5,ALMACS SUPERMARKETS,543 MAIN ST,EAST GREENWICH,RI,2818,Recorded: 01/1994 - 01/1996,KENT COUNTY,401-884-6274,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
6,ALMACS SUPERMARKETS STORES,543 MAIN ST,EAST GREENWICH,RI,2818,Recorded: 04/1994 - 01/1997,KENT COUNTY,401-884-6274,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
7,ALMACS INC,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 03/1992 - 03/1994,PROVIDENCE COUNTY,401-231-8340,03/1992 - 03/1994,,,,,,54110000,Grocery stores,,,,
8,ALMACS SUPERMARKET,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 01/1994,PROVIDENCE COUNTY,401-231-8340,Jan-94,,,,,,54110000,Grocery stores,,,,
9,ALMACS SUPERMARKETS,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 01/1995 - 01/1996,PROVIDENCE COUNTY,401-231-8340,01/1995 - 01/1996,,,,,,54119900,Grocery stores,,,,
10,ALMACS SUPERMARKETS STORES,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 04/1994 - 08/1996,PROVIDENCE COUNTY,401-231-8340,04/1994 - 08/1996,,,,,,54310000,Fruit and vegetable markets,,,,
11,ALMACS SUPERMARKETS STORES FLORIST SHOP,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-231-4820,04/1994 - 01/1997,,,,,,59920000,Florists,,,,
12,ALMACS INC,181 BELLEVUE AVE,NEWPORT,RI,2840,Recorded: 01/1989 - 06/1997,NEWPORT COUNTY,401-847-3999,01/1989 - 06/1997,,,,,,54110000,Grocery stores,54310000,Fruit and vegetable markets,,
13,ALMACS INC,181 BELVUE AVE,NEWPORT,RI,2840,Recorded: 01/1994 - 01/1996,NEWPORT COUNTY,401-847-3999,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
14,ALMACS INC,E MAIN RD,NEWPORT,RI,2840,Recorded: 01/1993 - 07/1995,NEWPORT COUNTY,401-846-1158,01/1993 - 07/1995,,,,,,54110000,Grocery stores,,,,
15,ALMACS INC,E MAIN RD,MIDDLETOWN,RI,2842,Recorded: 01/1994 - 01/1995,NEWPORT COUNTY,401-846-1158,01/1994 - 01/1995,,,,,,54110000,Grocery stores,,,,
16,ALMACS INC,288 E MAIN RD,MIDDLETOWN,RI,2842,Recorded: 01/1994 - 01/1995,NEWPORT COUNTY,401-846-1158,01/1994 - 01/1995,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
17,ALMACS SUPERMARKETS,5941 POST RD,NORTH KINGSTOWN,RI,02852-1301,Recorded: 01/1994 - 10/2003,WASHINGTON COUNTY,401-884-0945,01/1994 - 10/2003,,,,,,54110000,Grocery stores,,,,
18,ALMACS,7715 POST RD,NORTH KINGSTOWN,RI,2852,Recorded: 01/1992 - 06/1997,WASHINGTON COUNTY,401-295-5293,01/1992 - 06/1997,,,,,,51410000,"Groceries, general line",51490000,"Groceries and related products, nec",,
19,ALMACS FLORIST SHOP,7715 POST RD,NORTH KINGSTOWN,RI,2852,Recorded: 11/1993 - 07/1995,WASHINGTON COUNTY,401-295-1166,11/1993 - 07/1995,,,,,,59920000,Florists,,,,
20,ALMACS SUPERMARKETS STORES,BARTON,PAWTUCKET,RI,2860,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-722-2615,04/1994 - 01/1997,,,,,,,,,,,
21,ALMACS SUPERMARKETS,407 EAST AVE,PAWTUCKET,RI,2860,Recorded: 01/1987 - 01/1996,PROVIDENCE COUNTY,401-724-2179,01/1987 - 01/1996,,,,,,54110000,Grocery stores,54119900,Grocery stores,,
22,ALMACS SUPERMARKETS STORES,407 EAST AVE,PAWTUCKET,RI,2860,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-724-2179,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
23,ALMACS SUPERMARKETS,30 HIGGINSON AVE,CENTRAL FALLS,RI,2863,Recorded: 01/1994,PROVIDENCE COUNTY,401-726-3600,Jan-94,,,,,,54110000,Grocery stores,,,,
24,ALMACS SUPERMARKETS,75 MENDON RD,CUMBERLAND,RI,2864,Recorded: 01/1994,PROVIDENCE COUNTY,401-724-8730,Jan-94,,,,,,54110000,Grocery stores,,,,
25,ALMACS SUPERMARKETS,LINCOLN,LINCOLN,RI,2865,Recorded: 01/1994 - 01/1996,PROVIDENCE COUNTY,401-333-5675,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
26,ALMACS SUPERMARKETS,LINCOLN MALL,LINCOLN,RI,2865,Recorded: 01/1992 - 01/1996,PROVIDENCE COUNTY,401-333-5675,01/1992 - 01/1996,,,,,,54110000,Grocery stores,,,,
27,ALMACS SUPERMARKETS STORES,LINCOLN MALL,LINCOLN,RI,2865,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-333-5675,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
28,ALMACS,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1994 - 01/1996,WASHINGTON COUNTY,401-789-7098,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
29,ALMACS INC,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1988 - 06/1997,WASHINGTON COUNTY,401-783-1740,01/1988 - 01/1996,401-789-7098,01/1996 - 06/1997,"MESTRADDA, MIKE",,,59920000,Florists,54310000,,,
30,ALMACS INC FLORIST SHOP,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1996 - 06/1997,WASHINGTON COUNTY,401-783-1740,01/1996 - 06/1997,,,,,,59920000,Florists,,,,
31,ALMACS FLORIST SHOP,7715 POST RD,WAKEFIELD,RI,2879,Recorded: 03/1992 - 07/1995,WASHINGTON COUNTY,401-295-1166,03/1992 - 07/1995,,,,,,59920000,Florists,59920000,Fruit and vegetable markets,,
32,ALMACS INC,205 BUTTONWOODS AVE,WARWICK,RI,2886,Recorded: 01/1975 - 01/1996,KENT COUNTY,401-438-2700,01/1975 - 01/1996,,,"ORSI, ROBERT P",,,65120000,Nonresidential building operators,,,,
33,ALMACS SUPERMARKETS,3030 W SHORE RD,WARWICK,RI,2886,Recorded: 01/1987 - 01/1996,KENT COUNTY,401-739-3181,01/1987 - 01/1996,,,,,,54110000,Grocery stores,54119900,Grocery stores,,
34,ALMACS SUPERMARKETS STORES,3030 W SHORE RD,WARWICK,RI,2886,Recorded: 04/1994 - 01/1997,KENT COUNTY,401-739-3181,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
35,ALMACS SUPERMARKETS,767 WARWICK AVE,WARWICK,RI,2888,Recorded: 01/1994,KENT COUNTY,401-461-8370,Jan-94,,,,,,54110000,Grocery stores,,,,
36,ALMACS SUPERMARKETS,18 AIRPORT RD,WARWICK,RI,2889,Recorded: 01/1987 - 01/1996,KENT COUNTY,401-737-4459,01/1987 - 01/1996, 401-738-1780,1/1/1994,"COLLAMATI, ERNEST",,,54110000,Grocery stores,54119900,Grocery stores,59470000,"Gift, novelty, and souvenir shop"
37,ALMACS SUPERMARKETS STORES,18 AIRPORT RD,WARWICK,RI,2889,Recorded: 04/1994 - 01/1997,KENT COUNTY,401-737-4459,04/1994 - 01/1997,,,,,,,,,,,
38,ALMACS,90 FRANKLIN,WESTERLY,RI,2891,Recorded: 01/1994 - 01/1995,WASHINGTON COUNTY,401-596-5660,01/1994 - 01/1995,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
39,ALMACS INC,970 MAIN ST,WEST WARWICK,RI,2893,Recorded: 01/1994,KENT COUNTY,401-828-7493,1/1/1994,,,,,,54110000,Grocery stores,,,,
40,ALMACS SUPERMARKETS,970 MAIN ST,WEST WARWICK,RI,2893,Recorded: 01/1993 - 01/1996,KENT COUNTY,401-828-7493,01/1993 - 01/1996,,,"MISTRETTA, MICHAEL",,,54110000,Grocery stores,54119900,Grocery stores,,
41,ALMACS SUPERMARKETS STORES,970 MAIN ST,WEST WARWICK,RI,2893,Recorded: 04/1994 - 01/1997,KENT COUNTY,401-828-7493,04/1994 - 01/1997,,,,,,,,,,,
42,ALMACS INC,1400 PARK AVE,WOONSOCKET,RI,2895,Recorded: 01/1994 - 06/1997,PROVIDENCE COUNTY,401-766-6313,01/1994 - 06/1997,,,,,,54119900,Grocery stores,54110000,Grocery stores,54310000,Fruit and vegetable markets
43,ALMACS SUPERMARKETS,1400 PARK AVE,WOONSOCKET,RI,2895,Recorded: 01/1991 - 01/1996,PROVIDENCE COUNTY,54110000,Grocery stores,,,,,,,,,,,
44,ALMACS SUPERMARKETS STORES,N MAIN ST UNIVERSITY HGTS,PROVIDENCE,RI,2900,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-421-7187,04/1994 - 01/1997,,,,,,,,,,,
45,ALMACS SUPERMARKETS STORES,1050 WILLETT AVE,PROVIDENCE,RI,2900,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-433-0128,04/1994 - 01/1997,,,,,,,,,,,
46,ALMACS FLOWER SHOP,1919 MINERAL SPRING AVE,PROVIDENCE,RI,2904,Recorded: 01/1990 - 01/1997,PROVIDENCE COUNTY,401-353-9445,01/1990 - 01/1997,,,,,,59920000,Florists,1810000,Ornamental nursery products,,
47,ALMACS SUPERMARKETS,1919 MINERAL SPRING AVE,PROVIDENCE,RI,2904,Recorded: 01/1990 - 01/1996,PROVIDENCE COUNTY,401-944-7154,01/1990 - 01/1996,401-353-3020,01/1994 - 01/1996,,,,54110000,Grocery stores,54119900,Grocery stores,,
48,ALMACS SUPERMARKETS STORES,1919 MINERAL SPRING AVE,PROVIDENCE,RI,2904,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-353-3020,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
49,ALMACS FLOWER SHOP,1919 MINRL SPRING AVE,PROVIDENCE,RI,2904,Recorded: 04/1994 - 07/1995,PROVIDENCE COUNTY,401-353-9445,04/1994 - 07/1995,,,,,,,,,,,
50,ALMACS SUPERMARKETS,50 MURRAY ST,PROVIDENCE,RI,2909,Recorded: 01/1994 - 01/1996,PROVIDENCE COUNTY,401-944-7154,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
51,ALMACS SUPERMARKETS STORES,50 MURRAY ST,PROVIDENCE,RI,2909,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-944-7154,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
52,ALMACS SUPERMARKET,1415 ELMWOOD AVE,CRANSTON,RI,2910,Recorded: 01/1993 - 03/1994,PROVIDENCE COUNTY,401-941-1000,01/1993 - 03/1994,,,,,,54110000,Grocery stores,,,,
53,ALMACS SUPERMARKET STORES,1415 ELMWOOD AVE,CRANSTON,RI,2910,Recorded: 04/1994 - 07/1995,PROVIDENCE COUNTY,401-941-1000,04/1994 - 07/1995,,,,,,54110000,Grocery stores,,,,
54,ALMACS SUPERMARKETS STORES,550 PONTIAC AVE,CRANSTON,RI,2910,Recorded: 01/1995 - 01/1997,PROVIDENCE COUNTY,401-941-8140,01/1995 - 01/1997,,,,,,,,,,,
55,ALMACS SUPERMRKTS,550 PONTIAC AVE,CRANSTON,RI,2910,Recorded: 01/1996,PROVIDENCE COUNTY,401-941-8140,35065,,,,,,99990000,Nonclassifiable establishments,,,,
56,ALMACS INC,NOYES AVE,EAST PROVIDENCE,RI,2914,Recorded: 03/1992 - 03/1994,PROVIDENCE COUNTY,401-438-2700,03/1992 - 03/1994,,,,,,54110000,Grocery stores,,,,
57,ALMACS SUPERMARKETS,1855 PAWTUCKET AVE,EAST PROVIDENCE,RI,2914,Recorded: 01/1994,PROVIDENCE COUNTY,401-438-5911,34335,,,,,,54110000,Grocery stores,,,,
58,ALMACS SUPERMARKETS,1050 WILLETT AVE,RIVERSIDE,RI,2915,Recorded: 01/1990 - 01/1996,PROVIDENCE COUNTY,401-433-0128,01/1990 - 01/1996,,,,,,54110000,Grocery stores,54119900,Grocery stores,,
59,ALMACS INC,1 NOYES AVE,RUMFORD,RI,2916,Recorded: 01/1994 - 01/1995,PROVIDENCE COUNTY,401-438-2700,01/1994 - 01/1995,,,,,,65129900,Nonresidential building operators,65120000,Nonresidential building operators,,
60,ALMACS SUPER MARKET,1 NOYES AVE,RUMFORD,RI,2916,Recorded: 03/1994,PROVIDENCE COUNTY,401-555-1212,34394,,,,,,54110000,Grocery stores,,,,
61,ALMACS SUPERMARKETS,1 NOYES AVE,RUMFORD,RI,2916,Recorded: 01/1995 - 01/1996,PROVIDENCE COUNTY,401-438-2700,01/1995 - 01/1996,,,,,,54110100,Supermarkets,54119900,Grocery stores,,
62,ALMACS SUPERMARKETS OFFICE,1 NOYES AVE,RUMFORD,RI,2916,Recorded: 01/1995 - 01/1997,PROVIDENCE COUNTY,401-438-2700,01/1995 - 01/1997,,,,,,,,,,,
63,ALMACS INC,1450 HARTFORD AVE,JOHNSTON,RI,2919,Recorded: 03/1992 - 03/1994,PROVIDENCE COUNTY,401-831-0772,03/1992 - 03/1994,,,,,,54110000,Grocery stores,,,,
64,ALMACS INC,210 HILLSIDE RD,CRANSTON,RI,2920,Recorded: 01/1993 - 03/1994,PROVIDENCE COUNTY,401-943-2452,01/1993 - 03/1994,,,,,,54110000,Grocery stores,,,,
65,ALMACS SUPERMARKETS,151 SOCKANOSSET CROSS RD,CRANSTON,RI,2920,Recorded: 01/1986 - 01/1999,PROVIDENCE COUNTY,401-942-0820,01/1986 - 01/1999,,,"KAVANAUGH, DAN",M,,59920000,Florists,,,,
66,ALMACS SUPERMARKETS STORES,151 SOCKANOSSET CROSS RD,CRANSTON,RI,2920,Recorded: 01/1995 - 01/1997,PROVIDENCE COUNTY,401-943-2452,01/1995 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
67,ALMACS SUPERMARKETS STORES FAX LINE,151 SOCKANOSSET CROSS RD,CRANSTON,RI,2920,Recorded: 01/1995 - 01/1997,PROVIDENCE COUNTY,401-942-7749,01/1995 - 01/1997,,,,,,,,,,,
68,ALMACS SUPERMARKETS STORES FLORIST SHOP,151 SOCKANOSSET CROSS RD,CRANSTON,RI,2920,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-942-0820,04/1994 - 01/1997,,,,,,59920000,Florists,,,,
69,ALMACS SUPERMARKETS,151 SOCKNSTT CROS RD,CRANSTON,RI,2920,Recorded: 01/1994 - 01/1996,PROVIDENCE COUNTY,401-943-2452,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
